"","CHFB","CHFCD4","CHFCD8","CHFgama","CHFMONO","CHFNK","PWSB","PWSCD4","PWSCD8","PWSGAMA","PWSMONO","PWSNK"
"CXCL16",-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,3.17542648054294,-0.288675134594813
"CXCL8",0.0236486845812131,0.0236486845812131,0.0236486845812131,0.0236486845812131,-2.45987152991353,0.0236486845812131,0.0236486845812131,0.0236486845812131,0.0236486845812131,0.0236486845812131,2.2233846841014,0.0236486845812131
"CXCR4",-1.36214284321707,-1.08776088169843,-1.18616405902513,-0.706172337973755,-0.523672850086218,-0.651575502118849,0.76076449492244,1.09132908728329,0.709107076062577,1.2932596242702,0.711205686635416,0.951822504945531
"CYBA",-0.123122524219951,-0.123122524219951,2.86177052313853,-1.63054528093902,-0.123122524219951,-0.123122524219951,-0.123122524219951,-0.123122524219951,-0.123122524219951,-0.123122524219951,-0.123122524219951,-0.123122524219951
"CYCS",-0.624954725700726,-0.624954725700726,-0.624954725700726,-1.62625254155483,-0.624954725700726,-0.624954725700726,0.392171711544742,0.519215217520388,0.298043865968075,1.0318264952097,0.339430575842471,2.17033830397308
"CYP1B1",-0.0508786181203944,-0.0508786181203944,-0.0508786181203944,-0.0508786181203944,2.58298515160037,-0.0508786181203944,-0.0508786181203944,-0.0508786181203944,-0.0508786181203944,-0.0508786181203944,-2.07419897039643,-0.0508786181203944
"CYTIP",-0.932772826543614,-0.932772826543614,-0.932772826543614,-0.932772826543614,-0.932772826543614,-0.932772826543614,0.663291352560952,1.15461144566624,0.616394717250995,0.612129812015575,1.28203945110525,1.26817018066267
"CYTOR",0.125965549836455,0.125965549836455,2.20507318389873,0.125965549836455,0.125965549836455,0.125965549836455,0.125965549836455,0.125965549836455,0.125965549836455,-1.21048247669915,0.125965549836455,-2.12828065572767
"DDIT3",-0.84111590310268,-0.84111590310268,-0.84111590310268,-0.84111590310268,-0.84111590310268,-0.84111590310268,0.796853931741194,0.339742245125749,0.342425073507813,0.315453999527638,1.12635560766191,2.12586456105177
"DDIT4",-1.07024386029783,-0.524854403097108,0.0951065969443842,-1.15889998028157,-0.524854403097108,-1.24021641698744,-0.524854403097108,1.03077393392593,0.312080869975817,1.45725327811902,0.55187030822694,1.59683847966607
"DIP2A",0.160188637404311,0.160188637404311,0.843516954333338,1.40364835325695,0.160188637404311,1.215539682727,0.160188637404311,-0.403880405427228,-0.733581178644509,-0.813216741929723,0.160188637404311,-2.31296985133738
"D0JB1",-0.38184611129099,-1.12857307609397,-0.911436122476426,-1.30025608075896,-0.38184611129099,-0.38184611129099,-0.38184611129099,0.693683696046107,1.01876014828347,1.93167798032325,0.0537514367193459,1.16977646312115
"DSC2",-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,3.17542648054294,-0.288675134594813
"DUSP1",-0.58310648987038,-0.385030662136869,-0.534307030994051,-1.06251898596162,-0.640686298354008,-1.36824963370507,0.589767844540671,1.04457817545493,0.867423851458665,0.523210502524413,-0.480531465954686,2.029450192998
"DUSP2",-1.21046911701728,-0.47028738978488,-0.47028738978488,-0.47028738978488,-0.47028738978488,-0.95018259333274,-0.47028738978488,1.09375417217474,-0.47028738978488,1.20774534944756,0.613664679241321,2.06721184819568
